,id,nome,microrregiao.id,microrregiao.nome,microrregiao.mesorregiao.id,microrregiao.mesorregiao.nome,microrregiao.mesorregiao.UF.id,microrregiao.mesorregiao.UF.sigla,microrregiao.mesorregiao.UF.nome,microrregiao.mesorregiao.UF.regiao.id,microrregiao.mesorregiao.UF.regiao.sigla,microrregiao.mesorregiao.UF.regiao.nome,regiao-imediata.id,regiao-imediata.nome,regiao-imediata.regiao-intermediaria.id,regiao-imediata.regiao-intermediaria.nome,regiao-imediata.regiao-intermediaria.UF.id,regiao-imediata.regiao-intermediaria.UF.sigla,regiao-imediata.regiao-intermediaria.UF.nome,regiao-imediata.regiao-intermediaria.UF.regiao.id,regiao-imediata.regiao-intermediaria.UF.regiao.sigla,regiao-imediata.regiao-intermediaria.UF.regiao.nome
81,3305554,Seropédica,33017,Itaguaí,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330001,Rio de Janeiro,3301,Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste
82,3305604,Silva Jardim,33009,Bacia de São João,3304,Baixadas,33,RJ,Rio de Janeiro,3,SE,Sudeste,330003,Rio Bonito,3301,Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste
83,3305703,Sumidouro,33007,Nova Friburgo,3303,Centro Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330008,Nova Friburgo,3303,Petrópolis,33,RJ,Rio de Janeiro,3,SE,Sudeste
84,3305752,Tanguá,33018,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330001,Rio de Janeiro,3301,Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste
85,3305802,Teresópolis,33015,Serrana,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330007,Petrópolis,3303,Petrópolis,33,RJ,Rio de Janeiro,3,SE,Sudeste
86,3305901,Trajano de Moraes,33008,Santa Maria Madalena,3303,Centro Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330008,Nova Friburgo,3303,Petrópolis,33,RJ,Rio de Janeiro,3,SE,Sudeste
87,3306008,Três Rios,33005,Três Rios,3303,Centro Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330009,Três Rios - Paraíba do Sul,3303,Petrópolis,33,RJ,Rio de Janeiro,3,SE,Sudeste
88,3306107,Valença,33012,Barra do Piraí,3305,Sul Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330006,Valença,3302,Volta Redonda - Barra Mansa,33,RJ,Rio de Janeiro,3,SE,Sudeste
89,3306156,Varre-Sai,33001,Itaperuna,3301,Noroeste Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330011,Itaperuna,3304,Campos dos Goytacazes,33,RJ,Rio de Janeiro,3,SE,Sudeste
90,3306206,Vassouras,33014,Vassouras,3306,Metropolitana do Rio de Janeiro,33,RJ,Rio de Janeiro,3,SE,Sudeste,330006,Valença,3302,Volta Redonda - Barra Mansa,33,RJ,Rio de Janeiro,3,SE,Sudeste
91,3306305,Volta Redonda,33011,Vale do Paraíba Fluminense,3305,Sul Fluminense,33,RJ,Rio de Janeiro,3,SE,Sudeste,330004,Volta Redonda - Barra Mansa,3302,Volta Redonda - Barra Mansa,33,RJ,Rio de Janeiro,3,SE,Sudeste
